Experiment_ID,Architecture,Optimizer,Epochs,Activation,Scheduler,Loss_Function,Noise_Level,Data_Points,weigthed,Execution_Time(s),Final_Total_Loss,Final_Physics_Loss,Final_Data_Loss,Final_BC_Loss,MAE,L2_Error,True_K,Estimated_K,Rel_Error_K
Poisson_Inverse_Tanh_N10_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.1,500,False,67.18629550933838,3.1284032593681606e-05,3.6989252015596826e-06,2.606973596831791e-05,1.5153714238040135e-06,8.897500783621458,0.026923229709603324,1.0,1.0063186069927572,0.6318606992757214
Poisson_Inverse_Tanh_N10_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,Tanh,None,MSE,0.1,500,True,67.3930299282074,2.888538974192232e-05,3.206786494791028e-06,2.433951212718049e-05,1.3390911199508073e-06,8.27221017964883,0.023746255390593975,1.0,1.020912265284171,2.0912265284170894
Poisson_Inverse_GELU_N0_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.0,50,False,85.10246109962463,1.3101676988830876e-06,9.893960441434773e-07,2.120428414353257e-08,2.9956737059607775e-07,3.2968432343099376,0.011188127924478288,1.0,0.998309864728894,0.16901352711059525
Poisson_Inverse_GELU_N0_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.0,50,True,85.57817435264587,3.073944685951381e-06,1.9896568335166196e-06,7.071340062970382e-08,1.0135744518050575e-06,7.6070097010455555,0.019998825531424336,1.0,0.987115148915309,1.2884851084690951
Poisson_Inverse_GELU_N0_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.0,100,False,84.17713618278503,8.877731662952278e-07,5.967139286448159e-07,4.304833014319492e-08,2.48010907507217e-07,3.2778634118523007,0.01098549661438753,1.0,0.9847715960777469,1.5228403922253109
Poisson_Inverse_GELU_N0_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.0,100,True,84.92884635925293,9.284427021025336e-06,9.142156648457123e-06,2.1774468114407616e-08,1.204959044538049e-07,2.5957232044920895,0.007669351056264672,1.0,1.00209063771047,0.20906377104699114
Poisson_Inverse_GELU_N0_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.0,500,False,83.94796633720398,4.572754567597317e-06,4.364436668773901e-06,5.608283137343961e-08,1.5223506744997685e-07,3.95592374291008,0.010405051356610951,1.0,0.9879655562036422,1.2034443796357763
Poisson_Inverse_GELU_N0_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.0,500,True,84.23954439163208,3.1747378573003565e-06,2.8242637899663126e-06,4.6996536051239437e-08,3.034775312828046e-07,6.224073576925107,0.01115370803048828,1.0,0.9989040602967443,0.10959397032557217
Poisson_Inverse_GELU_N1_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.01,50,False,85.51404809951782,3.8075444910133244e-06,2.825855711784531e-06,3.9237650985342446e-07,5.893122693753687e-07,6.728397989024877,0.01879107276745147,1.0,1.0072951550530418,0.7295155053041791
Poisson_Inverse_GELU_N1_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.01,50,True,87.38359904289246,5.034602245199348e-06,3.5230073256564456e-06,4.5924739934350217e-07,1.0523475201994005e-06,7.041783211642522,0.02084688594630431,1.0,0.9992372676011323,0.07627323988677048
