% Model,4_roll_mill.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 9 2026, 18:24"
% Dimension,2
% Nodes,20128
% Expressions,6
% Description,"Velocity field, x-component, Velocity field, y-component, Pressure, Viscoelastic extra stress tensor, branch 1, xx-component, Viscoelastic extra stress tensor, branch 1, xy-component, Viscoelastic extra stress tensor, branch 1, yy-component"
% Length unit,m
% x,y,u (m/s) @ lambda=0.05,v (m/s) @ lambda=0.05,p (Pa) @ lambda=0.05,vef.Te_1xx (N/m^2) @ lambda=0.05,vef.Te_1xy (N/m^2) @ lambda=0.05,vef.Te_1yy (N/m^2) @ lambda=0.05
-0.013544763863454426,-0.014283853237510935,-0.005599754787562459,0.004631036894711795,0.16592603639265666,-2.195702562881459,-0.9002655916490695,3.0202524640323607
-0.012680920262311587,-0.014374527321014796,-0.0068771409081040255,0.00421342931705447,0.20617254817123296,-2.0244318128101852,-1.951110666797826,3.1535771437530955
-0.012545204192439471,-0.014303711841978798,-0.007170092025337655,0.004240229464243998,0.24434696928537356,-2.0316830891426134,-2.156776170608984,3.2803033993224218
-0.012542285867656025,-0.014456531871872548,-0.007006581397522245,0.003995775933474554,0.20287638818642642,-1.8954680562823876,-2.1063820465231973,3.0213346663233254
-0.012408766398519247,-0.014381534484329045,-0.007299731049078044,0.004012940880777385,0.2421841644895113,-1.8893206678163101,-2.314743380676805,3.1351598588911416
-0.023448610022687083,-0.022744932215201942,-9.795801664108152E-6,9.14474367469971E-6,0.017123142743976392,-0.02990714520357358,0.006335603788887623,0.03004978152635759
-0.022962860430367243,-0.022941734537704084,-1.5811261065202227E-5,1.5835952426830318E-5,5.534709555367401E-4,-0.039957308706539844,1.4509828638399884E-4,0.04015519895094065
-0.022694294315014605,-0.023405485910927934,-1.0987835235696141E-5,1.1283211314537109E-5,-0.01778143522148887,-0.03279922551939748,-0.0070357430445327366,0.03283451172005497
-0.022380630023600755,-0.023942328134671204,-4.507137110909929E-6,6.1531358294983305E-6,-0.0383666069987685,-0.023786430405516118,-0.011026887262429478,0.023859827478080752
-0.022071538377477568,-0.024471762322020533,2.8553576030871447E-7,1.9201807510819572E-6,-0.05949315849861992,-0.013425402332527472,-0.007526498333050058,0.013445427685821387
-0.021753246753246747,-0.025,0,0,-0.08351217211326996,2.556500758867769E-4,0.006229319983070307,-2.662756369954796E-4
-0.014197673430389026,-0.012950111726506142,-0.004637275515907409,0.006597256901022087,0.28541315397141137,-2.6459373144622274,0.5408889808875256,3.797201250101637
-0.01413540329229132,-0.012810416269897769,-0.004682313012311282,0.006889528268092433,0.32695564551708584,-2.7521813277438754,0.6655002221903418,4.019772802135182
-0.014260875912167926,-0.013095529833363566,-0.004584324903662166,0.006310897581745137,0.25741373508663906,-2.5438259275901385,0.44793458514588264,3.575434152140551
-0.014288310442565842,-0.012816797191561395,-0.004427952137507843,0.006740084335573813,0.29114730799752314,-2.6042571714157035,0.7408544162752798,3.75458813328939
-0.014221641019906124,-0.012679131780828632,-0.004463591464945531,0.007033206997955433,0.3325801355136088,-2.701826553568542,0.8760977808825355,3.9677267651389303
-0.014374693346127091,-0.012680719279776952,-0.004214315610717571,0.006876316859001987,0.29628612805557036,-2.5498603034991034,0.9376065490544868,3.698839823131863
-0.014303711841978798,-0.012545204192439475,-0.004240453628434398,0.007169951114530978,0.33780568308273534,-2.6379227938907763,1.0829025382639652,3.901838797506023
-0.014107995615197677,-0.013978431980082846,-0.004868568472052214,0.005027473550027001,0.1643496091887414,-2.2240698506772856,-0.2803533734527002,2.963834086570863
-0.014163756661856668,-0.014158868536217744,-0.004757951204679574,0.004763253778422022,0.14420016985718045,-2.1103208899338917,-0.3177593229246857,2.7697210740598606
-0.014170463837373663,-0.013675975174328779,-0.004804767888892856,0.005452554599345583,0.1922635413191995,-2.3500541465102454,-0.06701099998972587,3.1794121785861953
-0.01422981239553339,-0.013847009382787696,-0.004709481231246766,0.005179831236032841,0.1694831252149169,-2.2373017806863182,-0.12146670280560044,2.9780553499874256
