x,y,u,v,p,psi,u_exact,p_exact,psi_exact
0.118644066,0.020689655,0.18276589,-0.0018765866,0.88068146,0.003327864,0.18549347,0.88135594,0.0019927016
0.13559322,0.020689655,0.1863588,-0.0044129984,0.8584908,0.003149806,0.18549347,0.86440676,0.0019927016
0.15254237,0.020689655,0.18456472,-0.0041838023,0.8570276,0.0016397962,0.18549347,0.84745765,0.0019927016
0.16949153,0.020689655,0.19476272,0.010128575,0.8369643,0.00202653,0.18549347,0.8305085,0.0019927016
0.18644068,0.020689655,0.19373804,0.0039853323,0.8246865,0.0016566713,0.18549347,0.8135593,0.0019927016
0.20338982,0.020689655,0.18178886,0.00042127905,0.7876577,0.0017465078,0.18549347,0.7966102,0.0019927016
0.22033899,0.020689655,0.18819734,0.0012039563,0.78073156,0.0011921227,0.18549347,0.779661,0.0019927016
0.23728813,0.020689655,0.19063401,-0.002203411,0.76144886,0.00074801256,0.18549347,0.7627119,0.0019927016
0.2542373,0.020689655,0.18557143,0.0013742929,0.758954,0.00076694274,0.18549347,0.7457627,0.0019927016
0.27118644,0.020689655,0.18843693,0.00052091293,0.7173365,0.0020295368,0.18549347,0.7288135,0.0019927016
0.2881356,0.020689655,0.18790822,0.009426498,0.7196131,0.0018198293,0.18549347,0.7118644,0.0019927016
0.30508474,0.020689655,0.183429,-0.012887265,0.70039964,0.0017451958,0.18549347,0.6949153,0.0019927016
0.3220339,0.020689655,0.18206726,-0.0039309654,0.66754943,0.0027309828,0.18549347,0.6779661,0.0019927016
0.33898306,0.020689655,0.18670723,-0.0011147809,0.6499021,0.0029387153,0.18549347,0.66101694,0.0019927016
0.3559322,0.020689655,0.18874323,-0.0036977264,0.6267701,0.0030275562,0.18549347,0.64406776,0.0019927016
0.37288135,0.020689655,0.18393175,0.005869725,0.62704533,0.003215056,0.18549347,0.62711865,0.0019927016
0.3898305,0.020689655,0.19074425,0.001210049,0.6137113,0.001732279,0.18549347,0.61016953,0.0019927016
0.40677965,0.020689655,0.17718002,0.0025922558,0.5679373,0.0017863483,0.18549347,0.59322035,0.0019927016
0.42372882,0.020689655,0.18707654,0.005637432,0.59110314,0.0017506608,0.18549347,0.5762712,0.0019927016
0.44067797,0.020689655,0.18379867,-0.00364173,0.5604203,0.0014428676,0.18549347,0.559322,0.0019927016
0.45762712,0.020689655,0.18381497,-0.0034757203,0.53674394,0.0026575609,0.18549347,0.5423729,0.0019927016
0.47457626,0.020689655,0.17967613,0.0018681656,0.53826636,0.0017802413,0.18549347,0.52542377,0.0019927016
0.4915254,0.020689655,0.1888868,0.00060365937,0.5088758,0.0015502525,0.18549347,0.5084746,0.0019927016
0.5084746,0.020689655,0.18602625,-0.0013279124,0.48048636,0.002225711,0.18549347,0.4915254,0.0019927016
0.52542377,0.020689655,0.1801161,0.002288828,0.47633666,0.0021341164,0.18549347,0.47457623,0.0019927016
0.5423729,0.020689655,0.17420307,0.0012279886,0.44732744,0.0018047692,0.18549347,0.45762712,0.0019927016
0.559322,0.020689655,0.1964595,-0.005385816,0.4449698,0.0013228809,0.18549347,0.440678,0.0019927016
0.5762712,0.020689655,0.19154467,-0.0062177526,0.41896245,0.0013344598,0.18549347,0.42372882,0.0019927016
0.59322035,0.020689655,0.17536074,0.0019770768,0.4075155,0.003952626,0.18549347,0.40677965,0.0019927016
0.61016953,0.020689655,0.18509364,-0.0043970104,0.39401773,0.0020465506,0.18549347,0.38983047,0.0019927016
0.62711865,0.020689655,0.19124323,0.0041678944,0.37047127,0.0021685367,0.18549347,0.37288135,0.0019927016
0.64406776,0.020689655,0.18389967,-0.009481907,0.35615185,0.0017684167,0.18549347,0.35593224,0.0019927016
0.66101694,0.020689655,0.17781506,-0.0009329557,0.32190293,0.0017559329,0.18549347,0.33898306,0.0019927016
0.6779661,0.020689655,0.19154888,0.0038854515,0.32009718,0.0025002095,0.18549347,0.32203388,0.0019927016
0.6949153,0.020689655,0.18018714,0.011967636,0.30322546,0.001961455,0.18549347,0.3050847,0.0019927016
0.7118644,0.020689655,0.18670137,-0.0035021517,0.28367084,0.0027913607,0.18549347,0.2881356,0.0019927016
0.7288135,0.020689655,0.18354914,-0.0010459454,0.26718903,0.0024779527,0.18549347,0.27118647,0.0019927016
0.7457627,0.020689655,0.17884405,-0.003283896,0.25779897,0.0022836425,0.18549347,0.2542373,0.0019927016
0.7627119,0.020689655,0.19314714,-0.0054635433,0.24494843,0.0024236972,0.18549347,0.23728812,0.0019927016
0.779661,0.020689655,0.18667284,0.0026622745,0.22055356,0.00080633943,0.18549347,0.220339,0.0019927016
0.7966102,0.020689655,0.18452068,0.0059893304,0.20746803,0.0030351398,0.18549347,0.20338982,0.0019927016
0.8135593,0.020689655,0.17988047,0.005665295,0.18945073,0.0014805712,0.18549347,0.1864407,0.0019927016
0.8305085,0.020689655,0.18872349,0.0028687848,0.17321514,0.0016662874,0.18549347,0.16949153,0.0019927016
0.84745765,0.020689655,0.18201207,0.006528412,0.1664339,0.00318459,0.18549347,0.15254235,0.0019927016
0.86440676,0.020689655,0.19278952,-0.0008018256,0.1339871,0.0028139139,0.18549347,0.13559324,0.0019927016
0.88135594,0.020689655,0.1809831,-0.0046783676,0.13010848,0.0009786874,0.18549347,0.11864406,0.0019927016
0.89830506,0.020689655,0.17602585,-0.01127021,0.1157232,0.0013671505,0.18549347,0.10169494,0.0019927016
0.91525424,0.020689655,0.19164342,0.01058126,0.07013167,0.0021885294,0.18549347,0.084745765,0.0019927016
0.9322034,0.020689655,0.17678235,0.0058195386,0.05645391,0.0026416432,0.18549347,0.06779659,0.0019927016
0.9491525,0.020689655,0.19026466,-0.0030249532,0.05325593,0.0027332837,0.18549347,0.05084747,0.0019927016
0.9661017,0.020689655,0.18329379,-0.00851647,0.03926915,0.0012067277,0.18549347,0.033898294,0.0019927016
0.9830508,0.020689655,0.18581806,-0.0070312936,0.015609704,0.0025530155,0.18549347,0.016949177,0.0019927016
1.0,0.020689655,0.19029573,-0.0004255592,0.004496641,0.0017092311,0.18549347,0.0,0.0019927016
